algorithm,n,time
constant,100,1.00000761449337e-07
constant,15000,1.00000761449337e-07
constant,50000,1.00000761449337e-07
constant,100000,1.00000761449337e-07
binary_search,100,5.00003807246685e-07
binary_search,15000,1.400010660290718e-06
binary_search,50000,1.400010660290718e-06
binary_search,100000,1.600012183189392e-06
linear_search,100,4.799920134246349e-06
linear_search,15000,0.000812400016002357
linear_search,50000,0.002712199930101633
linear_search,100000,0.005532899987883866
array_sum,100,3.600027412176132e-06
array_sum,15000,0.0005077000241726637
array_sum,50000,0.0016184999840334058
array_sum,100000,0.0034892000257968903
merge_sort_random,100,8.560006972402334e-05
merge_sort_random,15000,0.024516699952073395
merge_sort_random,50000,0.09201839996967465
merge_sort_random,100000,0.19855959992855787
merge_sort_sorted,100,6.209989078342915e-05
merge_sort_sorted,15000,0.014404900022782385
merge_sort_sorted,50000,0.053110700100660324
merge_sort_sorted,100000,0.11248620005790144
merge_sort_reverse,100,6.569991819560528e-05
merge_sort_reverse,15000,0.01474779995623976
merge_sort_reverse,50000,0.05424420000053942
merge_sort_reverse,100000,0.11511970008723438
bubble_sort_random,100,0.00026759994216263294
bubble_sort_random,300,0.002451700042001903
bubble_sort_random,500,0.007569400011561811
bubble_sort_random,800,0.020280600059777498
bubble_sort_random,1200,0.04861329996492714
bubble_sort_random,2000,0.140016199904494
bubble_sort_sorted,100,0.00014540005940943956
bubble_sort_sorted,300,0.001267499988898635
bubble_sort_sorted,500,0.0038648999761790037
bubble_sort_sorted,800,0.010450900066643953
bubble_sort_sorted,1200,0.025150900008156896
bubble_sort_sorted,2000,0.07336130004841834
bubble_sort_reverse,100,0.0003095000283792615
bubble_sort_reverse,300,0.0027957999845966697
bubble_sort_reverse,500,0.008254999993368983
bubble_sort_reverse,800,0.023456200025975704
bubble_sort_reverse,1200,0.05613659997470677
bubble_sort_reverse,2000,0.16625619994010776
matrix_multiply,5,9.600073099136353e-06
matrix_multiply,10,6.220000796020031e-05
matrix_multiply,20,0.000511599937453866
matrix_multiply,40,0.003927700105123222
matrix_multiply,60,0.013329600100405514
matrix_multiply,80,0.02973740000743419
matrix_multiply,100,0.05857420002575964
fib,5,7.00005330145359e-07
fib,6,9.00006853044033e-07
fib,7,1.500011421740055e-06
fib,8,2.400018274784088e-06
fib,9,3.8000289350748062e-06
fib,10,6.299931555986404e-06
fib,11,1.00000761449337e-05
fib,12,1.6200006939470768e-05
fib,13,2.619996666908264e-05
fib,14,4.239997360855341e-05
fib,15,6.859994027763605e-05
fib,16,0.00011090002954006195
fib,17,0.00017919996753335
fib,18,0.00028220005333423615
fib,19,0.0004589000018313527
fib,20,0.0007425999501720071
fib,21,0.0012133000418543816
fib,22,0.0019450000254437327
fib,23,0.0031531000277027488
fib,24,0.0051766999531537294
fib,25,0.00856370001565665
fib,26,0.01406060007866472
fib,27,0.022478700033389032
fib,28,0.03528129996266216
fib,29,0.05522810004185885
fib,30,0.08837320003658533
